species,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Carcina quercana,75.54856643,38.59285276,10.96858938,41.94674517,49.03553692,18.83500744,94.46419342,74.79941377,36.50113737,24.81755342,69.41409989,37.13099592,154.8865336,107.6576441,38.80519231,46.86688986,43.18884869,51.98495254,36.51014031,44.50684509,39.12340015,31.62494423,44.39298483,46.58440545,15.2184007,42.56414852,12.2032146,16.95206097,31.95981583,39.91693891,44.08783273,25.72463704,26.72503703,22.77804891,36.79795648,32.20338657
Carlito syrichta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.460405612,140.6990587,52.66611559,27.10709506,20.80921164,21.92207315,0,0,41.18584928,0,0,0,0,43.73188297,2.813161793,0,2.725774554,0
Carpinus viminea,61.01999597,132.3183523,41.13221018,67.85502895,118.5025475,81.13541665,104.9602149,78.09938791,87.04117372,58.39424335,122.9208019,90.1752758,156.3758272,91.43525935,69.84934616,108.9338521,90.69658226,124.1862755,128.5156939,76.09234805,69.21832335,140.0533245,76.30044268,131.5324389,184.1426485,171.7767422,85.42250221,88.99832012,58.59299569,63.09451633,325.9827632,63.02536075,81.58169199,99.15150704,59.96704019,87.82741793
Carposina sasakii,77.00142348,71.67244083,45.2454312,56.75147876,21.79357196,52.15848213,47.98181253,529.0958533,46.32836666,110.9490624,93.99826026,120.6757367,93.82549631,184.3452809,381.8430923,433.202063,367.1052139,177.6152545,173.7882679,136.3919446,1047.303327,424.6778226,395.3750212,290.4674693,138.4874464,276.6669654,324.9105888,25.42809146,67.91460864,25.75286381,124.2475286,60.45289704,30.94477972,38.85667168,23.16908371,38.05854777
Carterocephalus palaemon,114.7757067,96.48213189,400.3535124,81.42603474,64.01861764,127.4985119,100.46192,134.1989482,96.86840301,61.31395551,57.84508324,100.7841318,122.1220746,128.3043155,102.4457077,103.8671613,51.82661843,99.6378257,93.46595919,73.22093869,72.22781566,49.69634094,88.78596967,101.3895883,111.0943251,118.5715566,114.4051369,72.04625914,81.23119857,69.53273229,84.16768067,106.7572437,81.58169199,99.15150704,84.49901118,144.9152396
Catocala fraxini,650.879957,1110.922833,479.8757854,763.6775076,493.0795656,547.6640624,470.8215355,662.1948102,680.8866009,592.70157,937.0903485,924.296577,658.2677678,852.4125791,2055.122985,1285.672789,809.0710989,632.4835892,877.7037731,1165.7922,865.2290418,353.8981855,449.4789714,649.4414172,1235.734137,410.4400036,732.1928761,563.6560274,659.1712015,733.9566186,626.5816228,909.3659194,565.4455203,511.8361579,429.3094923,516.7179755
Cavia porcellus,0,0,0,0,0,0,0,0,0,0,0,0,93.82549631,117.9809798,209.5480385,41.80019906,63.34364475,25.99247627,8.762433674,11.48563744,0,0,0,0,0,0,0,0,0,0,0,2.572463704,0,0,0,0
Celastrina argiolus,62.47285301,78.56402168,135.7362936,81.42603474,89.89848434,82.58426337,101.9613516,145.198862,165.659008,96.35050152,112.7979123,220.1337615,110.2077258,146.0014625,228.1745308,241.9344855,195.7894474,103.9699051,144.5801556,120.5991931,112.855962,112.9462294,61.04035415,157.5649008,220.6668102,1289.085641,89.99870769,86.17297662,149.1458072,239.5016334,960.5803556,167.2101408,71.73562571,79.05322858,141.7402768,102.4653209
Cephus cinctus,0,22.05305872,38.39006283,14.80473359,16.34517897,8.693080355,5.997726567,17.59986206,44.92447676,14.59856084,20.24577913,21.21771195,25.31799107,38.34381844,108.6545385,50.66690796,30.23219409,0,17.52486735,0,46.64713095,4.517849176,0,1.370129572,38.04600176,54.72533381,12.2032146,0,5.326635972,7.725859143,41.41584287,30.86956445,0,2.67977046,0,0
Cerceris rybyensis,90.0771369,81.32065402,171.3842091,97.46449612,49.03553692,150.6800595,52.48010746,43.99965516,81.42561412,144.5257523,80.98311653,90.1752758,55.10386291,128.3043155,52.77506154,79.80038003,92.13621055,82.30950819,40.89135715,54.55677785,87.27527726,46.68444149,63.8149157,38.36362802,103.4851248,62.32607462,57.96526936,83.34763313,66.58294964,66.95744591,102.8716097,64.3115926,119.5593762,136.6682935,115.8454185,109.7842724
Cercospora sojina,17.43428456,67.53749232,20.56610509,24.67455598,32.69035794,0,53.9795391,43.99965516,22.46223838,26.27740951,34.70704994,49.06595889,46.16810136,16.22238472,18.62649231,35.46683557,40.30959211,36.10066149,56.95581888,48.81395913,48.15187711,31.62494423,31.90745785,54.80518288,30.4368014,34.96340771,6.101607301,29.66610671,37.2864518,55.36865719,21.3759189,12.86231852,74.5487875,34.83701599,27.25774554,60.01540225
Cercospora sp. J1 LZ-2022,17.43428456,23.43137489,16.45288407,29.60946718,19.06937547,8.693080355,23.99090627,29.69976723,16.84667878,13.13870475,36.15317702,63.65313586,53.61456932,51.61667867,15.52207692,26.60012668,25.91330922,57.76105838,45.27257398,17.22845616,3.009492319,46.68444149,36.06930018,39.73375759,25.87128119,24.32237058,15.25401825,64.9829004,61.25631367,59.23158676,45.42382766,5.144927408,56.26323585,54.93529444,24.53197099,36.59475747
Cervus elaphus,1104.171356,2938.570074,544.316248,1846.890515,1078.781812,1374.955543,1781.32479,1525.688043,1639.743402,1379.563999,3320.307778,1847.267047,2062.671625,1849.351858,2156.016485,2634.679214,2317.801547,1624.529767,2818.582832,2590.011243,3268.308659,1530.044921,1326.240422,2130.551485,1129.205332,1369.653494,2577.929085,1418.322435,2823.117065,2534.081799,2534.382385,5008.586832,1679.45759,1527.469162,1707.697758,1826.810293
Ceutorhynchus assimilis,319.6285503,442.4394905,154.931325,428.1035463,577.529657,73.89118302,172.4346388,115.4990948,160.0434485,70.07309202,57.84508324,10.60885598,320.1981223,209.4162392,386.4997154,7.600036193,31.67182238,43.32079378,143.11975,528.3393223,6.018984639,6.023798902,13.87280776,113.7207545,369.8071371,171.7767422,576.6018899,1.412671748,13.31658993,24.46522062,211.0871991,93.89492519,2.813161793,0,0,5.855161195
Chaetura pelagica,0,0,0,0,0,0,29.98863283,314.5975344,8.423339392,13.13870475,31.81479578,23.86992595,17.87152311,78.16239912,121.0722,106.4005067,116.6098915,51.98495254,56.95581888,15.79275148,472.4902941,158.1247212,187.2829048,87.68829261,9.131040421,112.490964,57.96526936,5.650686992,0,0,13.35994931,0,0,0,0,0
Chamaenerion angustifolium,119.1342778,184.6943668,76.78012567,102.3994073,110.3299581,84.0331101,158.939754,190.2985086,119.3306414,89.0512211,99.78276859,169.7416956,397.6413891,191.7190922,138.1464846,182.4008686,187.1516777,167.5070693,169.407051,94.75650889,111.3512158,90.35698353,112.3697429,109.6103658,308.9335343,145.9342235,106.7781278,81.93496138,146.4824892,136.4901782,212.4231941,109.3297074,78.76853019,58.95495013,68.14436385,73.18951494
Chanos chanos,225.1928423,256.3668076,172.7552828,225.7721872,316.0067935,314.3997395,376.3573421,606.0952498,353.7802545,407.2998473,394.7926931,356.7227822,446.7880777,429.1558141,288.7106308,342.0016287,400.2166646,405.7714351,451.2653342,538.3892551,445.4048633,371.9695822,392.6004596,467.2141841,231.3196907,381.5571885,350.8424198,432.2775549,328.9197712,300.0208634,415.4944236,288.1159348,234.8990097,298.7944063,301.1980882,401.0785419
Cheilinus undulatus,26.15142684,11.02652936,109.6858938,29.60946718,24.51776846,70.99348957,11.99545313,2.199982758,16.84667878,110.9490624,11.56901665,2.652213994,26.80728466,17.69714697,62.0883077,12.66672699,2.87925658,8.664158757,5.84162245,17.22845616,27.08543087,3.011899451,0,5.480518288,24.34944112,9.120888969,16.77942008,0,2.663317986,0,4.007984794,21.86594148,2.813161793,2.67977046,2.725774554,0
Cheilosia urbana,20.33999866,48.24106594,37.01898916,29.60946718,79.00169836,27.52808779,26.98976955,46.19963792,70.19449493,29.19712167,53.506702,92.8274898,31.27516544,33.91953169,13.96986923,63.33363495,33.11145067,34.65663503,40.89135715,55.99248253,25.58068471,58.73203929,48.55482716,63.02596032,12.17472056,3.040296323,42.71125111,43.79282419,42.61308777,118.4631735,0,45.01811482,127.9988616,151.407031,152.643375,71.72572464
Cheilosia vulpina,23.24571275,45.4844336,27.42147345,17.27218919,47.67343867,52.15848213,43.48351761,95.69924997,106.6956323,26.27740951,127.2591831,151.1761977,62.55033088,75.21287463,52.77506154,122.8672518,103.6532369,106.857958,62.79744133,35.892617,31.59966935,37.64874314,38.84386173,83.5779039,16.74024077,12.16118529,36.60964381,90.41099187,161.1307381,117.1755303,25.38390369,34.72826,57.66981675,57.6150649,87.22478573,122.9583851
Chenopodium quinoa,13.07571342,17.91811021,9.597515708,12.33727799,20.43147371,11.59077381,35.9863594,39.59968964,28.07779797,14.59856084,14.46127081,58.34870787,37.23233981,14.74762248,41.90960769,35.46683557,27.35293751,36.10066149,40.89135715,27.27838892,36.11390783,43.67254204,55.49123104,95.90907005,68.48280316,28.88281507,53.38906388,16.95206097,27.96483885,36.05400933,14.69594424,52.73550593,56.26323585,48.23586829,29.98352009,40.98612837
Chilo suppressalis,328.3456926,504.4637182,430.5171332,555.1775096,521.6836288,554.908296,578.7806137,576.3954826,727.2149675,675.9133667,1009.396703,1593.98061,845.9187604,771.3006555,709.3589154,1830.34205,1664.210303,940.0612251,1028.125551,1033.70737,1301.605428,1582.753161,1362.309722,1301.623093,508.2945835,386.117633,903.0378805,856.0790792,1459.498256,1663.635002,570.4698357,661.1231719,548.5665496,604.2882388,806.829268,575.2695874
Chiloscyllium plagiosum,0,0,0,0,1.362098248,0,0,0,0,0,0,0,14.89293592,13.27286023,4.656623077,26.60012668,15.83591119,23.10442335,89.08474236,1.43570468,58.68510023,112.9462294,52.71666949,224.7012498,412.418659,136.8133345,12.2032146,2.825343496,5.326635972,0,0,0,0,0,0,4.391370896
Chinchilla lanigera,29.05714094,2.75663234,9.597515708,6.168638995,16.34517897,11.59077381,5.997726567,30.79975861,11.23111919,0,11.56901665,54.37038688,23.82869748,35.39429394,9.313246154,41.80019906,28.7925658,25.99247627,26.28730102,0,6.018984639,33.13089396,27.74561552,31.51298016,21.30576098,31.92311139,12.2032146,53.68152642,49.27138274,28.32815019,18.70392904,2.572463704,46.41716958,66.99426151,39.52373103,55.62403135
Chironomus riparius,0,2.75663234,8.226442036,4.934911196,0,2.897693452,2.998863283,17.59986206,22.46223838,10.21899259,26.03028746,34.47878192,41.70022058,85.53621036,105.5501231,65.86698034,69.10215791,64.98119067,20.44567857,48.81395913,36.11390783,42.16659231,15.26008854,13.70129572,3.04368014,9.120888969,85.42250221,39.55480894,45.27640576,39.91693891,1.335994931,46.30434667,25.31845613,16.07862276,5.451549108,2.927580598
Chiroxiphia lanceolata,11.62285637,15.16147787,86.37764138,4.934911196,5.448392991,31.87462797,8.99658985,8.799931032,2.807779797,30.65697776,0,0,7.446467961,0,15.52207692,0,0,0,5.84162245,0,15.0474616,0,0,9.590907005,21.30576098,44.08429668,0,0,0,0,12.02395438,5.144927408,0,0,0,0
Chlainomonas sp. DL06,52.30285368,68.91580849,20.56610509,23.44082818,66.74281413,34.77232142,55.47897074,35.19972413,94.06062321,16.05841692,27.47641454,91.5013828,77.4432668,100.2838328,46.56623077,60.80028955,54.70587501,67.86924359,115.3720434,45.94254977,42.13289247,72.28558682,94.33509277,63.02596032,41.0896819,21.28207426,27.45723285,73.45893089,77.23622159,86.27209376,34.73586821,47.59057852,81.58169199,68.33414674,31.34640737,87.82741793
Chlamydomonas reinhardtii,2.905714094,79.94233785,5.484294691,43.18047297,24.51776846,5.795386903,32.98749612,20.8998362,28.07779797,14.59856084,83.8753707,29.17435394,65.52891806,36.86905619,29.49194616,38.00018097,23.03405264,38.9887144,140.1989388,97.62791825,84.26578494,150.5949725,199.7684317,368.5648549,12.17472056,10.64103713,54.91446571,8.476030487,21.30654389,5.150572762,46.7598226,25.72463704,2.813161793,0,2.725774554,2.927580598
Chlorella variabilis,674.1256697,467.2491816,211.1453456,433.0384575,588.426443,266.5877976,676.2436704,586.295405,311.6635575,167.8834496,235.7187142,240.0253665,533.167106,418.8324783,400.4695846,206.4676499,240.4179244,268.5889215,242.4273317,193.8201318,126.3986774,237.9400566,188.6701855,215.1103428,400.2439385,264.5057801,315.7581778,169.5206097,183.768941,194.4341218,244.4870724,201.9384008,301.0083118,369.8083235,423.8579432,316.1787045
