species,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
Plebejus argus,13.07571342,34.45790425,112.4280412,4.934911196,13.62098248,14.48846726,17.9931797,0,8.423339392,87.59136502,20.24577913,0,0,5.89904899,43.46181539,1.266672699,2.87925658,2.888052919,26.28730102,2.87140936,24.07593855,43.67254204,31.90745785,68.5064786,57.82992267,34.96340771,36.60964381,0,0,0,10.68795945,14.14855037,0,0,0,0,0,0,0,0,0,0,29.98863283,1032.891905,11.23111919,7.299280418,0,0,71.48609243,35.39429394,412.8872462,0,4.318884869,0,46.7329796,0,21.06644624,43.67254204,31.90745785,71.24673775,45.65520211,83.60814888,30.50803651,0,0,0,36.07186314,2.572463704,2.813161793,12.05896707,24.53197099,20.49306418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plectropomus leopardus,437.3099711,481.0323433,442.8567963,526.8017702,553.0118885,478.1194195,469.3221038,641.294974,446.4369878,740.1470344,676.7874739,568.8999017,616.5675472,548.6115561,474.9755539,585.2027869,715.49526,696.0207534,587.0830562,601.560261,672.6215334,572.2608957,693.640388,676.8440086,470.2485817,408.9198554,683.3800177,714.8119044,571.2817079,463.5515486,459.5822564,487.4818719,420.567688,482.3586829,449.7528014,646.9953121,200.4942725,146.101514,231.7114507,251.680471,164.813888,205.7362351,119.9545313,152.8988017,157.2356687,527.0080462,159.0739789,57.02260087,129.5685425,140.1024135,190.9215462,74.73368924,118.0495198,77.97742881,112.4512322,114.8563744,189.5980161,79.81533545,92.94781199,75.35712647,276.9748928,197.619261,218.132461,42.38015244,105.2010604,93.99795291,138.9434729,162.0652133,19.69213255,16.07862276,2.725774554,39.52233807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plenodomus biglobosus,26.15142684,16.53979404,10.96858938,43.18047297,13.62098248,5.795386903,13.49488477,27.49978447,25.27001818,16.05841692,31.81479578,38.45710292,16.38222952,39.81858069,26.38753077,10.13338159,30.23219409,23.10442335,17.52486735,7.178523401,16.55220776,33.13089396,6.93640388,28.77272101,21.30576098,22.80222242,42.71125111,21.19007622,13.31658993,15.45171829,30.72788342,48.87681038,5.626323585,20.09827845,21.80619643,8.782741793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleuronectes platessa,568.0671053,330.7958808,139.8495146,214.668637,220.6599161,182.5546875,584.7783402,276.0978361,119.3306414,135.7666158,189.4426476,180.3505516,603.1639049,311.1748342,335.2768616,254.6012125,175.6346514,225.2681277,224.9024643,140.6990587,102.3227389,128.0057267,129.0171122,131.5324389,412.418659,255.3848911,256.2675066,115.8390833,161.1307381,104.2990984,252.503042,160.7789815,140.6580896,73.69368766,85.86189845,124.4221754,14.52857047,95.10381572,23.30825243,24.67455598,1.362098248,40.56770832,14.99431642,21.99982758,19.65445858,14.59856084,40.49155827,17.23939096,38.7216334,33.91953169,83.81921539,78.53370733,44.62847698,14.44026459,11.6832449,18.66416084,7.523730798,0,8.323684656,0,13.69656063,1.520148161,6.101607301,0,22.63820288,0,18.70392904,16.72101408,5.626323585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurosigma intermedium,0,0,0,0,0,2.897693452,50.98067582,243.0980948,21.05834848,58.39424335,43.38381243,30.50046093,69.99679884,75.21287463,133.4898615,116.5338883,80.61918423,64.98119067,24.82689541,50.24966381,243.7688779,195.7734643,202.5429933,106.8701066,31.95864147,118.5715566,108.3035296,39.55480894,21.30654389,7.725859143,18.70392904,28.29710074,40.79084599,33.49713076,43.61239286,99.53774032,0,0,0,0,0,0,16.49374806,135.2989396,4.211669696,5.839424335,14.46127081,15.91328396,20.85011029,36.86905619,94.68466924,69.66699844,63.34364475,23.10442335,7.302028062,12.92134212,203.1407316,128.0057267,131.7916737,83.5779039,22.82760105,104.8902231,103.7273241,7.06335874,10.65327194,1.28764319,10.68795945,1.286231852,1.406580896,4.019655691,4.088661831,5.855161195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurosigma sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24196495,0,0,65.99948274,0,0,0,0,0,0,0,27.86679938,0,0,0,33.02120764,0,0,0,43.84414631,0,0,0,265.5822886,63.91963166,0,0,0,0,0,0,0
Pleurosigma strigosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.30137398,10.65327194,0,0,0,0,0,0,0
Plutella xylostella,24.6985698,75.80738934,82.26442036,78.95857914,40.86294743,84.0331101,5.997726567,42.89966378,58.96337574,132.8469036,118.5824206,42.43542391,19.3608167,38.34381844,68.29713847,67.13365304,73.42104278,20.21637043,58.4162245,132.0848306,52.66611559,15.05949725,23.58377319,12.33116615,147.6184868,92.72903785,152.5401825,8.476030487,43.94474677,29.61579338,24.04790876,118.3333304,2.813161793,10.71908184,12.26598549,17.56548359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora damicornis,24.6985698,42.72780127,13.71073673,39.47928957,19.06937547,31.87462797,23.99090627,24.19981034,26.67390808,24.81755342,30.3686687,25.19603294,22.33940388,8.848573486,45.01402308,19.00009048,20.15479606,40.43274086,24.82689541,20.09986552,37.61865399,48.19039121,12.48552698,38.36362802,19.78392091,27.36266691,47.28745658,18.36473272,18.6432259,10.30114552,18.70392904,38.58695556,30.94477972,32.15724553,27.25774554,14.63790299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Podabrus alpinus,36.32142617,44.10611744,37.01898916,61.68638995,24.51776846,92.72619046,14.99431642,18.69985344,44.92447676,137.2264719,46.27606659,49.06595889,32.76445903,25.07095821,12.41766154,29.13347207,61.90401646,56.31703192,17.52486735,17.22845616,30.09492319,21.08329616,12.48552698,8.220777433,0,0,32.03343833,15.53938923,13.31658993,11.58878871,0,46.30434667,16.87897076,16.07862276,20.44330916,5.855161195,33.41571208,44.10611744,31.53469447,61.68638995,10.89678598,53.60732886,2.998863283,0,26.67390808,129.9271914,14.46127081,5.304427988,5.957174369,2.949524495,9.313246154,2.533345398,23.03405264,8.664158757,5.84162245,17.22845616,15.0474616,0,0,0,0,0,32.03343833,0,0,3.862929571,0,46.30434667,0,5.359540921,2.725774554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
