species,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Sciurus carolinensis,71.18999529,53.75433062,9.597515708,43.18047297,29.96616145,13.03962053,65.97499223,91.29928446,11.23111919,23.35769734,34.70704994,9.28274898,69.99679884,30.9700072,71.40155385,17.73341778,31.67182238,43.32079378,39.43095153,70.34952933,45.14238479,90.35698353,129.0171122,93.1688109,25.87128119,16.72162978,13.72861643,16.95206097,11.98493094,7.725859143,56.11178711,2.572463704,0,10.71908184,10.90309822,4.391370896
Mesoligia furuncula,24.6985698,24.80969106,12.33966305,13.57100579,24.51776846,42.01655505,86.96703521,73.69942239,43.52058686,24.81755342,44.82993951,39.78320991,38.7216334,28.0204827,41.90960769,54.46692605,43.18884869,38.9887144,18.98527296,50.24966381,21.06644624,15.05949725,2.774561552,23.29220273,39.56784183,28.88281507,22.88102738,28.25343496,71.90958562,96.57323929,57.44778205,24.43840519,35.16452241,37.51678645,39.52373103,45.37749926
Machimus atricapillus,0,1.37831617,0,0,0,1.448846726,11.99545313,4.399965516,0,5.839424335,0,5.304427988,17.87152311,28.0204827,35.70077693,98.80047051,236.0990395,112.6340638,8.762433674,31.58550296,82.76103878,161.1366206,283.0052783,128.7921798,1.52184007,25.84251875,36.60964381,15.53938923,0,2.575286381,0,0,0,10.71908184,0,7.318951494
Amphiprion ocellaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87925658,0,0,0,0,9.035698353,305.2017707,0,0,4.560444484,12.2032146,145.50519,61.25631367,190.5711922,281.8949305,46.30434667,21.09871344,71.0139172,173.0866842,29.27580598
Panicum virgatum,63.92571006,67.53749232,61.69831527,75.25739574,24.51776846,55.05617558,16.49374806,40.69968102,12.63500909,90.51107719,20.24577913,41.10931691,28.29657825,20.64667147,111.7589539,31.66681747,34.55107896,37.54468795,20.44567857,14.3570468,33.10441551,16.56544698,27.74561552,41.10388716,51.74256239,56.24548198,19.83022373,24.01541971,47.93972374,12.8764319,45.42382766,34.72826,22.50529434,12.05896707,8.177323662,27.81201568
Proaphanostoma tenuissima,0,1.37831617,0,1.233727799,4.086294743,4.346540178,2.998863283,14.29988793,2.807779797,5.839424335,2.892254162,2.652213994,7.446467961,0,1.552207692,3.800018097,1.43962829,2.888052919,0,0,0,9.035698353,8.323684656,4.110388716,4.565520211,4.560444484,4.576205476,12.71404573,1.331658993,1.28764319,5.343979725,12.86231852,50.63691227,48.23586829,6.814436385,1112.480627
Pleurosigma intermedium,0,0,0,0,0,0,16.49374806,135.2989396,4.211669696,5.839424335,14.46127081,15.91328396,20.85011029,36.86905619,94.68466924,69.66699844,63.34364475,23.10442335,7.302028062,12.92134212,203.1407316,128.0057267,131.7916737,83.5779039,22.82760105,104.8902231,103.7273241,7.06335874,10.65327194,1.28764319,10.68795945,1.286231852,1.406580896,4.019655691,4.088661831,5.855161195
Synanthedon vespiformis,56.66142483,13.7831617,27.42147345,40.71301737,32.69035794,108.6635044,11.99545313,2.199982758,1.403889899,11.67884867,2.892254162,0,2.978587185,0,1.552207692,15.20007239,60.46438817,14.44026459,58.4162245,64.60671061,33.10441551,124.9938272,133.1789545,94.53894047,144.5748067,191.5386683,68.64308214,0,2.663317986,1.28764319,6.679974656,15.43478222,0,0,0,0
Schizymenia dubyi,0,0,2.742147345,0,2.724196495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878.1017205,449.9638558,3.050803651,0,0,0,0,0,0,0,0,0
Megachile willughbiella,5.811428187,33.07958808,5.484294691,28.37573938,49.03553692,10.14192708,65.97499223,46.19963792,14.03889899,37.95625818,65.07571864,22.54381895,78.93256039,53.09144091,46.56623077,70.93367114,31.67182238,54.87300546,68.63906378,45.94254977,40.62814631,36.14279341,52.71666949,64.39608989,9.131040421,24.32237058,9.152410952,21.19007622,17.31156691,27.040507,25.38390369,19.29347778,36.5711033,29.47747506,35.4350692,46.84128956
Ischnura elegans,0,0,0,0,0,0,4.498294925,174.8986293,1.403889899,5.839424335,26.03028746,18.56549796,10.42505515,28.0204827,65.19272308,97.53379782,69.10215791,37.54468795,45.27257398,14.3570468,267.8448164,105.4164808,99.88421587,52.06492374,9.131040421,101.8499268,82.37169856,0,0,0,10.68795945,0,0,0,0,0
