genus,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
unclassified Hartmannulidae genus,0,0,0,0,2,0,8,0,9,2,0,2,9,0,0,0,0,0,0,28,8,23,10,11,57,35,71,14,40,10,2,0,19,33,1,12
unclassified Heliopeltaceae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
unclassified Hemiaulaceae genus,0,0,0,0,0,0,6,6,4,0,0,0,2,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,2,2,1,0,2,0,0
unclassified Hemidiscaceae genus,0,2,0,0,0,0,0,7,4,0,4,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Hemiselmidaceae genus,3,4,1,3,0,0,24,23,26,9,5,18,14,3,4,0,0,1,1,3,0,1,0,2,0,3,0,0,0,0,5,0,3,5,7,2
unclassified Heterocapsaceae genus,93,107,180,51,83,61,56,51,43,47,51,235,76,51,50,53,39,39,33,0,18,7,21,31,34,14,16,142,398,351,67,113,271,718,302,296
unclassified Heterolobosea genus,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Holostichidae genus,0,3,0,0,0,0,0,5,5,0,0,5,6,0,0,1,0,0,0,0,5,0,0,4,0,1,0,1,0,0,0,0,0,2,7,2
unclassified Hydrozoa genus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Hydrurales genus,28,47,26,43,35,21,40,14,28,35,40,77,55,114,82,98,154,126,124,54,30,62,50,61,15,42,17,27,15,7,18,29,21,12,33,30
unclassified Hyphochytriomycetes genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Ichthyobodonidae genus,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
unclassified Ichthyophonida genus,5,3,5,0,1,1,3,0,1,0,0,3,0,0,0,2,1,0,0,28,1,4,5,14,242,97,2,2,5,11,0,0,33,1,0,24
unclassified Ichthyophonidae genus,0,1,0,6,0,3,19,24,29,24,18,18,11,11,8,0,0,5,0,0,0,3,0,0,0,0,0,1,0,0,6,3,0,0,0,0
unclassified Imbricatea genus,61,91,38,56,86,34,126,75,70,50,34,95,77,61,135,11,51,33,33,20,14,30,39,27,39,14,0,9,3,8,0,13,13,1,2,3
unclassified Insecta genus,7,16,51,15,12,3,0,71,7,5,2,17,3,0,108,0,0,95,4,26,0,8,6,6,78,36,1,3,65,0,1,7,31,64,0,20
unclassified Katablepharidaceae genus,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,2,4,0,0
unclassified Kinorhyncha genus,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Kryptoperidiniaceae genus,4,0,6,0,0,0,0,0,5,0,0,16,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,2
unclassified Labyrinthulaceae genus,43,15,27,45,30,8,71,77,68,29,6,42,28,0,10,20,8,5,7,10,5,7,9,19,40,21,1,23,41,0,14,15,49,83,92,118
unclassified Lacrymariidae genus,3,0,2,0,0,0,5,23,13,5,3,25,30,1,5,2,0,0,0,13,4,4,6,3,26,19,14,9,4,10,23,26,80,33,60,72
unclassified Lecudinidae genus,1398,1022,1665,482,3671,1185,274,68,60,263,779,372,117,573,181,76,743,257,1360,0,220,4,32,130,56,8,98,255,43,466,45,719,129,62,74,44
unclassified Leptocylindraceae genus,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
unclassified Leptomyxida genus,4,1,0,9,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
unclassified Licmophoraceae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Licmophorales genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Limnofilidae genus,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,10,0,0,10
unclassified Lingulodiniaceae genus,10,7,16,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Lithodesmiaceae genus,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
unclassified Litostomatea genus,6,14,14,8,8,12,5,16,2,21,8,24,10,9,7,2,0,10,6,0,3,3,14,7,7,0,2,4,14,80,9,8,12,25,10,6
unclassified Longamoebia genus,3,2,1,0,1,0,0,6,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0
unclassified Lynchellidae genus,13,38,0,15,3,15,210,55,109,39,25,6,41,51,52,19,5,6,22,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0
unclassified Lynnellidae genus,22,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Malacostraca genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,3,0,0
unclassified Mamiellaceae genus,9,5,6,11,3,1,0,5,3,2,4,19,5,8,0,0,2,0,0,0,6,0,0,1,2,0,4,2,3,0,2,2,3,4,3,2
unclassified Mammalia genus,7,18,4,41,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
unclassified Marsupiomonadales genus,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
unclassified Massisteriidae genus,9,13,4,8,10,0,37,20,24,8,9,23,18,0,11,14,15,12,3,0,5,14,8,16,15,0,7,5,0,0,1,0,2,6,0,5
unclassified Mediophyceae genus,18,6,2,8,0,2,18,12,6,0,12,8,0,5,0,0,0,0,4,0,2,0,0,0,4,0,0,2,5,14,2,5,0,7,0,0
unclassified Melosiraceae genus,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3
unclassified Metazoa genus,42,5,2,6,2,8,38,12,20,2,2,23,3,2,21,0,0,0,4,2,2,10,3,0,68,3,1,4,0,8,15,2,2,1,0,7
unclassified Metopidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Mollusca genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Mytilida genus,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Nebulidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Nematoda genus,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,1,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0
unclassified Nemertea genus,2,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,9,8,9,5,6,9
unclassified Neobodonida genus,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Neovahlkampfiidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Nephroselmidaceae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Nephroselmidales genus,0,3,5,5,0,1,13,18,18,8,6,6,12,3,0,0,7,5,0,0,0,0,1,2,0,7,6,3,0,0,7,6,14,12,16,17
unclassified Nibbleridae genus,5,0,2,0,3,2,12,8,9,0,0,0,6,2,1,0,0,3,0,0,0,0,0,1,5,4,2,4,0,4,0,8,5,5,3,3
unclassified Noctilucaceae genus,0,0,0,0,0,0,2,10,3,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Ochromonadales genus,0,39,9,6,4,0,4,0,0,9,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0
unclassified Odontellaceae genus,16,10,16,9,6,9,12,16,6,8,0,17,5,5,6,5,0,0,0,0,0,7,4,8,30,19,0,21,79,85,20,27,84,77,89,81
unclassified Oligohymenophorea genus,0,3,0,0,0,2,8,8,12,0,3,4,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,3,3,0,1,2,3,3,11,3
unclassified Oomycota genus,6,4,6,12,3,5,27,21,37,20,17,39,42,10,15,33,16,29,54,55,30,74,78,98,46,33,19,19,8,3,5,42,16,10,26,8
unclassified Ophryoscolecidae genus,0,6,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
unclassified Orthodonellidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
unclassified Ostracoda genus,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0
unclassified Ostreida genus,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5
unclassified Ovulinatidae genus,37,0,22,0,49,34,25,35,60,19,18,51,38,23,13,8,31,0,27,16,24,77,27,179,7,6,0,15,0,6,0,0,0,0,0,0
unclassified Oxytrichidae genus,3,11,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
unclassified Pansomonadidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Parabirojimidae genus,0,0,0,0,8,0,4,2,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
unclassified Paradiniida genus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Paraliaceae genus,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,4,4,0,0,4,0,6,0,0,0,0,0,9,8,1,6,4,9,0,8
unclassified Parameciidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Paramoebidae genus,11,6,0,0,0,0,4,8,15,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0
unclassified Paraphysomonadaceae genus,18,13,4,7,2,11,0,2,6,0,16,5,10,6,0,7,7,15,11,25,3,10,7,9,21,18,8,11,18,0,22,39,54,62,24,51
unclassified Parmales genus,9,17,11,9,15,4,22,8,0,6,0,3,3,6,3,5,3,7,4,9,6,0,5,10,4,3,2,0,4,1,1,6,0,4,6,0
unclassified Parviluciferaceae genus,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
unclassified Paulinellidae genus,110,165,140,207,288,156,77,54,63,188,73,91,85,83,122,54,90,92,87,68,43,103,92,130,28,49,0,1,1,32,0,35,4,0,8,0
unclassified Pavlovaceae genus,0,0,0,0,0,3,0,0,3,0,0,4,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Pectinida genus,0,80,11,9,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Pedinellales genus,57,117,45,89,32,30,19,27,17,23,9,52,27,5,16,18,21,14,4,6,20,2,6,17,4,8,16,26,24,11,18,68,13,33,26,34
unclassified Pelagomonadales genus,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0
unclassified Peridiniales genus,15,161,20,14,2,0,2,13,5,0,2,20,14,3,7,0,0,2,0,0,0,0,0,0,9,6,0,0,7,13,1,0,13,0,0,35
unclassified Perkinsida genus,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
unclassified Peronosporales genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
unclassified Phaeophyceae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
unclassified Phagomyxida genus,0,5,0,0,0,0,6,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,5,0,0
unclassified Philasterida genus,0,6,1,4,5,2,12,12,12,9,2,0,3,13,5,5,2,5,5,0,0,2,2,0,0,0,0,0,0,0,0,1,2,2,0,0
unclassified Phyllopharyngea genus,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,3,0,0,1,0,0,0,3,4,0,0,10,8,7,0,11,67,119,19
unclassified Pinnulariaceae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Pirsoniales genus,34,44,42,30,42,30,23,46,5,34,12,39,22,22,27,13,15,9,27,3,18,14,23,22,47,46,10,28,36,31,24,63,96,80,46,97
unclassified Plagiocampidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
unclassified Plagiopylida genus,21,0,0,0,0,0,14,0,1,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Plasmodiophorida genus,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
unclassified Pleurosigmataceae genus,552,456,304,340,203,213,2248,1487,1486,888,395,348,661,452,497,485,300,468,280,203,371,568,2271,2316,2652,102,469,12370,4950,6289,126,2536,2524,887,276,138
unclassified Pleurostomatida genus,0,4,0,0,5,0,10,2,0,3,8,5,0,7,6,2,2,5,0,0,0,0,2,0,0,2,4,1,0,4,0,0,0,0,0,7
unclassified Polycladida genus,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Prasinodermaceae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Prorocentraceae genus,4,4,2,6,4,9,6,7,13,3,0,1,0,0,7,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Prostomatea genus,0,15,0,0,0,0,6,3,0,0,0,9,7,0,3,0,0,2,0,0,0,5,0,4,2,2,0,0,0,15,3,6,11,12,0,0
unclassified Protaspidae genus,316,354,218,521,448,281,236,180,221,315,102,316,264,250,240,186,317,426,198,178,243,358,384,460,197,128,184,291,303,108,121,582,456,985,445,357
unclassified Protoperidiniaceae genus,0,3,0,13,13,0,0,5,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,5,0,0,0,6,43,1,0,27,46,23,0
unclassified Prymnesiaceae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Pseudocohnilembidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
unclassified Pseudocolliniidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
unclassified Pseudodifflugiidae genus,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,4,8,0,0,0,3,2,0,0
unclassified Pseudophyllomitidae genus,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Pterocystida genus,10,6,5,5,2,2,8,30,46,15,9,22,11,5,0,2,4,4,0,0,0,0,0,0,0,0,0,4,11,7,3,0,11,28,18,19
unclassified Pterocystidae genus,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Pycnococcaceae genus,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
unclassified Pyramimonadales genus,0,0,10,0,2,3,0,3,2,2,0,0,4,0,2,0,4,1,0,0,0,0,0,0,0,3,0,0,2,0,0,3,3,5,5,1
unclassified Pyrenomonadales genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Pyrocystaceae genus,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,10,0,0,0,3,0,0,2,0,12,56,2,4,1,23,17,0
unclassified Raphidiophryidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Raphidophyceae genus,3,2,6,3,0,0,13,4,7,7,0,11,13,1,0,3,0,2,2,6,3,3,0,11,9,4,9,32,18,7,3,10,10,5,6,7
unclassified Rhabditophora genus,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,4,5,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
unclassified Rhabdocoela genus,3,2,193,0,14,25,62,180,11,139,95,1729,97,85,73,20,51,38,61,3,51,14,106,6,59,7,0,8,719,32,184,78,159,587,742,63
unclassified Rhabdonellidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Rhaphoneidaceae genus,78,78,71,70,34,31,81,53,61,57,51,110,71,39,70,12,11,52,28,0,18,0,9,9,10,12,11,10,30,30,8,20,18,36,37,11
unclassified Rhizosoleniaceae genus,0,0,3,0,0,6,0,0,0,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Rhodellales genus,221,136,105,247,326,155,199,96,336,216,66,171,117,88,96,72,83,97,41,37,54,30,36,116,45,29,44,163,60,81,63,549,51,48,68,77
unclassified Rhodelphidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Rhodophyta genus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Rigifilida genus,18,15,8,15,15,0,0,2,4,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,9,20
unclassified Rotaliida genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Rotifera genus,23,14,32,4,26,26,41,79,57,47,17,27,18,28,10,0,8,0,7,0,9,0,0,0,0,0,0,5,5,8,4,4,3,3,4,0
unclassified Rotosphaerida genus,68,55,58,79,55,55,206,108,193,139,41,96,44,46,27,5,13,16,16,24,24,19,25,57,16,16,30,43,45,11,34,135,101,136,137,128
unclassified Sandonidae genus,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
unclassified Sarcinochrysidaceae genus,2,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,7,7,0,0,0,0,5,0,8,0,0,14,0,0,0,2,8,0,0,2
unclassified Scenedesmaceae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Schizoplasmodiidae genus,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
unclassified Sessilida genus,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
unclassified Sphaeropleales genus,5,9,5,2,15,1,2,6,9,3,0,7,2,0,0,0,0,4,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
unclassified Spirotrichea genus,100,317,358,75,55,44,57,81,53,32,22,244,92,39,80,40,34,43,26,21,32,3,10,23,139,36,41,106,113,178,62,44,131,160,69,47
unclassified Spumellaria genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
unclassified Stauroneidaceae genus,57,60,27,40,67,37,64,49,53,41,29,51,52,65,86,58,45,74,71,59,36,60,118,87,46,36,15,82,54,36,7,55,42,39,21,34
unclassified Staurosiraceae genus,18,17,18,18,37,2,20,9,0,19,0,3,17,19,14,7,16,15,9,0,6,4,0,0,0,10,2,5,6,14,7,0,3,13,8,4
unclassified Stephanodiscaceae genus,323,236,142,124,161,174,263,127,133,173,67,232,137,68,129,57,24,81,40,6,8,7,0,12,10,12,9,5,47,34,20,18,32,75,51,43
unclassified Stephanoecidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Streptophyta genus,4,7,10,17,16,6,13,14,20,2,1,28,14,8,0,5,8,3,0,12,19,15,10,0,13,77,52,12,12,11,15,12,15,11,21,43
unclassified Strobilidiidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,8,4,6
unclassified Strombidiidae genus,138,295,123,113,87,100,76,87,68,77,22,128,53,71,70,21,46,67,22,5,16,9,23,16,30,12,34,82,40,198,27,80,84,38,83,31
unclassified Strombidinopsidae genus,48,78,255,25,29,28,39,31,39,14,6,387,75,16,22,5,7,1,18,80,8,0,21,4,25,22,19,38,71,88,72,23,73,50,109,106
unclassified Stygamoebida genus,4,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0
unclassified Suessiaceae genus,167,1317,573,843,289,190,117,71,141,133,70,191,118,138,95,85,61,44,65,51,68,29,49,74,37,46,201,151,144,221,83,490,99,107,98,81
unclassified Suessiales genus,0,4,4,0,0,0,0,5,2,0,0,32,9,5,0,0,0,0,0,0,0,0,11,9,0,0,2,17,15,7,0,4,0,0,2,0
unclassified Surirellaceae genus,1311,997,928,1289,1339,749,1029,566,704,685,629,1031,1092,1104,1027,1133,1176,1066,1171,1296,592,1481,1272,1501,688,645,638,1488,1311,1970,387,1868,599,983,664,811
unclassified Surirellales genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Symbiodiniaceae genus,0,10,11,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Synchromophyceae genus,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
unclassified Syndiniales genus,64,150,92,46,55,35,86,79,72,50,30,337,52,48,47,19,29,50,15,16,16,8,5,4,30,4,8,25,63,172,32,27,37,55,46,30
unclassified Synuraceae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,8,0,0,0,0
unclassified Thalassionemataceae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassified Thalassiosiraceae genus,2140,2041,2637,1517,896,1228,2282,1263,1034,1689,1009,3139,1092,926,1284,1361,730,1036,849,248,337,280,474,644,1524,971,206,970,2422,3130,683,1737,4024,4527,2358,3905
unclassified Thalassiosirales genus,981,1029,682,729,541,643,1306,855,878,803,665,1220,822,489,783,445,304,609,422,242,250,151,433,298,1445,951,157,407,1471,2051,467,1089,3227,3085,2034,2755
unclassified Thaumatomonadida genus,46,39,8,42,58,23,49,7,19,37,2,36,34,21,40,20,22,38,26,11,35,27,34,98,50,22,19,17,9,16,13,16,18,22,5,8
unclassified Thecofilosea genus,120,200,54,120,139,108,128,66,86,124,75,194,217,336,244,280,371,252,185,119,94,110,142,119,48,40,65,85,84,151,43,174,106,117,107,89
unclassified Thigmophryidae genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0
