genus,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
unclassified Cercozoa genus,469,521,242,526,310,204,512,334,378,252,93,402,482,206,212,157,158,135,64,102,66,137,60,92,93,108,89,110,199,158,66,186,274,427,267,279
unclassified Chaetocerotaceae genus,86,53,51,47,44,37,49,7,34,33,13,51,50,7,29,17,22,28,21,10,11,20,55,54,80,79,15,80,114,70,46,140,214,406,118,309
unclassified Chilodonellidae genus,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,30,5,26,24,23,214,224,56,41,44,15,0,0,25,5,0,80
unclassified Chlamydodontidae genus,17,4,2,4,7,0,5,27,23,7,6,0,4,0,0,0,0,0,3,5,4,1,2,0,0,4,0,0,0,0,0,0,0,0,6,0
unclassified Chlamydomonadales genus,2,4,4,4,12,5,6,9,6,1,1,8,9,5,3,3,0,7,4,0,0,5,1,0,1,1,5,0,0,2,0,3,1,2,1,4
unclassified Chlamydophryidae genus,87,66,20,142,162,127,86,48,29,89,38,63,84,86,40,48,84,37,42,19,23,12,30,79,23,16,10,8,13,7,30,78,9,32,46,40
unclassified Chlorarachniophyceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
unclassified Chlorellales genus,114,119,94,113,65,44,86,58,115,79,38,164,81,44,61,13,12,32,15,0,20,8,0,7,6,10,31,10,6,10,58,35,36,32,38,46
unclassified Chlorodendraceae genus,8,0,0,4,0,0,19,21,15,20,8,24,14,5,9,0,5,4,19,0,1,13,5,6,2,2,5,3,0,3,3,10,5,7,4,2
unclassified Chlorophyceae genus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
