species,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Drosophila subobscura,77.00142348,11.02652936,9.597515708,43.18047297,17.70727722,13.03962053,10.49602149,4.399965516,4.211669696,13.13870475,20.24577913,0,14.89293592,8.848573486,0,1.266672699,5.758513159,0,5.84162245,0,27.08543087,0,0,0,0,0,15.25401825,2.825343496,0,0,0,18.00724593,0,0,0,0
Drosophila virilis,39.22714026,99.23876423,26.05039978,44.41420077,5.448392991,15.93731398,5.997726567,0,1.403889899,97.81035761,7.230635405,3.978320991,2.978587185,2.949524495,17.07428462,10.13338159,35.99070724,25.99247627,5.84162245,4.307114041,75.23730798,10.54164808,4.161842328,26.03246187,36.52416169,13.68133345,4.576205476,0,2.663317986,0,8.015969588,14.14855037,0,1.33988523,4.088661831,0
Drosophila yakuba,4.35857114,16.53979404,4.113221018,17.27218919,19.06937547,11.59077381,8.99658985,5.499956895,12.63500909,4.379568251,11.56901665,14.58717697,17.87152311,13.27286023,4.656623077,13.93339969,10.07739803,28.88052919,8.762433674,8.614228081,4.514238479,16.56544698,9.710965432,4.110388716,18.26208084,9.120888969,9.152410952,26.84076321,13.31658993,6.438215952,12.02395438,19.29347778,19.69213255,21.43816368,8.177323662,5.855161195
Dryobotodes eremita,386.4599744,430.034645,780.1409197,389.8579845,307.834204,534.6244418,394.3505218,210.0983534,373.4347131,696.3513519,458.4222847,396.5059921,421.4700866,349.5186527,341.4856923,519.3358066,444.8451415,405.7714351,410.3739771,452.2469743,577.8225253,679.1833262,430.0570406,461.7336658,339.3703357,456.0444484,485.0777804,344.6919065,334.2464072,372.1288821,419.5024084,497.7717267,263.0306276,308.173603,238.5052735,300.0770112
Durotheca rogersii,5.811428187,5.513264679,2.742147345,7.402366794,1.362098248,4.346540178,16.49374806,21.99982758,43.52058686,17.518273,15.90739789,51.71817289,5.957174369,23.59619596,3.104415385,51.93358066,40.30959211,31.76858211,20.44567857,8.614228081,16.55220776,40.66064259,36.06930018,21.92207315,1.52184007,1.520148161,1.525401825,45.20549593,51.93470072,88.84738014,0,12.86231852,70.32904482,61.63472059,89.95056028,48.30507986
Echeneis naucrates,175.7957027,172.2895212,87.74871505,160.3846139,258.7986671,266.5877976,467.8226722,1042.791827,415.55141,255.4748146,464.206793,651.1185356,484.0204175,572.2077521,788.5215077,1485.807076,1210.727392,864.9718492,458.5673623,401.9973105,874.2575188,771.0462594,1059.882513,613.8180483,164.3587276,223.4617797,361.5202326,577.7827449,412.8142878,328.3490136,200.3992397,212.2282556,437.4466587,523.895125,437.4868159,532.8196688
Ecliptopera silaceata,29.05714094,19.29642638,35.64791549,16.03846139,9.534687734,53.60732886,7.497158208,12.09990517,7.019449493,48.17525076,26.03028746,19.89160496,8.935761554,7.373811238,15.52207692,29.13347207,47.50773356,27.43650273,37.97054592,178.0273803,60.18984639,43.67254204,31.90745785,39.73375759,16.74024077,16.72162978,22.88102738,21.19007622,22.63820288,38.62929571,28.05589356,51.44927408,1.406580896,9.379196612,8.177323662,23.42064478
Ectemnius continuus,37.77428322,41.3494851,28.79254713,51.81656756,12.25888423,39.1188616,167.9363439,179.2985948,63.17504544,78.83222852,91.1060061,45.0876379,171.2687631,150.4257493,116.4155769,112.7338702,60.46438817,69.31327005,134.3573163,61.73530125,157.9983468,72.28558682,115.1443044,209.6298245,71.5264833,120.0917048,68.64308214,29.66610671,18.6432259,15.45171829,36.07186314,32.1557963,5.626323585,16.07862276,14.99176005,4.391370896
Ectemnius lituratus,23.24571275,13.7831617,9.597515708,12.33727799,14.98308072,28.97693452,8.99658985,19.79984482,22.46223838,8.759136502,15.90739789,26.52213994,11.91434874,22.12143371,7.761038462,17.73341778,15.83591119,12.99623813,23.3664898,20.09986552,13.54271544,10.54164808,24.97105397,13.70129572,9.131040421,10.64103713,25.93183103,155.3938923,51.93470072,194.4341218,14.69594424,51.44927408,46.41716958,28.13758983,47.7010547,23.42064478
Eilema depressum,36.32142617,75.80738934,82.26442036,56.75147876,58.57022465,40.56770832,596.7737934,714.9943963,273.7585302,313.869058,488.7909534,145.8717697,434.8737289,454.2267723,291.8150462,181.1341959,267.7708619,300.3575036,178.1694847,202.4343599,227.2166701,245.4698052,276.0688744,348.0129113,51.74256239,56.24548198,70.16848396,67.8082439,70.57792662,66.95744591,49.43181246,74.60144742,23.91187524,48.23586829,47.7010547,67.33435374
Eilema sororculum,62.47285301,107.5086612,108.3148201,111.0355019,92.62268084,128.9473586,230.9124728,199.0984396,133.3695404,145.9856084,211.1345538,281.1346834,296.3694249,250.7095821,391.1563385,499.0690434,378.6222402,179.059281,293.5415281,157.9275148,279.8827857,192.7615649,205.3175549,186.3376218,120.2253655,156.5752606,149.4893789,63.57022866,94.54778849,99.14852567,297.9268697,136.3405763,26.72503703,50.91563875,38.16084376,35.13096717
Eimeria maxima,0,0,0,1.233727799,1.362098248,0,0,0,0,0,0,0,0,0,0,1.266672699,8.637769739,0,0,1.43570468,0,21.08329616,369.0166864,0,0,13.68133345,30.50803651,152.5685488,107.8643784,157.0924692,511.6860587,18.00724593,37.9776842,89.77231043,208.5217534,24.88443508
Eimeria nieschulzi,0,6.891580849,1.371073673,6.168638995,2.724196495,5.795386903,8.99658985,5.499956895,12.63500909,2.919712167,11.56901665,11.93496297,14.89293592,16.22238472,1.552207692,11.40005429,15.83591119,12.99623813,1.460405612,12.92134212,4.514238479,10.54164808,1.387280776,9.590907005,9.131040421,9.120888969,15.25401825,5.650686992,6.658294964,3.862929571,4.007984794,7.717391112,1.406580896,5.359540921,2.725774554,4.391370896
Electrophaes corylata,24.6985698,20.67474255,68.55368363,62.92011775,43.58714392,59.40271576,53.9795391,54.99956895,61.77115554,64.23366768,93.99826026,70.28367084,35.74304621,57.51572766,65.19272308,96.26712512,168.4365099,88.08561403,99.30758164,249.8126144,365.6533168,340.344638,377.3403711,385.0064098,66.96096309,88.16859337,266.9453194,87.58564837,39.94976979,54.081014,82.83168574,105.4710119,14.06580896,38.85667168,29.98352009,29.27580598
Electrophorus electricus,2.905714094,20.67474255,13.71073673,6.168638995,0,2.897693452,7.497158208,1.099991379,2.807779797,2.919712167,1.446127081,0,0,10.32333573,29.49194616,6.333363495,5.758513159,5.776105838,1.460405612,25.84268424,15.0474616,0,0,0,66.96096309,7.600740807,15.25401825,0,0,1.28764319,5.343979725,29.5833326,0,2.67977046,0,2.927580598
Elephas maximus,7.264285234,6.891580849,5.484294691,9.869822392,10.89678598,23.18154761,22.49147462,30.79975861,16.84667878,27.73726559,63.62959156,35.80488892,28.29657825,19.17190922,12.41766154,22.80010858,66.22290133,53.428979,29.20811225,51.68536849,36.11390783,33.13089396,20.80921164,16.44155487,9.131040421,18.24177794,33.55884016,24.01541971,14.64824892,9.013502333,10.68795945,16.72101408,9.846066274,21.43816368,9.540210939,21.95685448
Elphidium margaritaceum,0,0,0,0,0,0,0,0,0,0,0,0,32.76445903,0,105.5501231,32.93349017,54.70587501,28.88052919,17.52486735,0,18.05695392,0,0,0,0,0,0,0,0,0,0,0,0,0,24.53197099,0
Elphidium williamsoni,0,0,19.19503142,0,0,0,17.9931797,17.59986206,36.50113737,0,0,0,53.61456932,47.19239192,37.25298462,40.53352637,25.91330922,0,17.52486735,0,0,36.14279341,72.13860035,54.80518288,73.04832337,72.96711175,42.71125111,0,0,0,0,0,0,0,0,0
