genus,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Polyodon,0,1.37831617,0,0,5.448392991,0,10.49602149,15.39987931,11.23111919,4.379568251,8.676762486,7.956641982,4.467880777,19.17190922,0,12.66672699,10.07739803,11.55221168,11.6832449,2.87140936,6.018984639,16.56544698,8.323684656,20.55194358,3.04368014,0,3.050803651,7.06335874,10.65327194,12.8764319,0,0,40.79084599,21.43816368,19.08042188,43.91370896
Polyommatus,33.41571208,31.70127191,27.42147345,22.20710038,89.89848434,73.89118302,83.96817193,62.6995086,36.50113737,46.71539468,56.39895616,66.30534985,102.7612579,61.9400144,43.46181539,31.66681747,53.26624672,54.87300546,94.92636481,66.04241529,48.15187711,162.6425703,226.1267665,115.0908841,22.82760105,47.12459301,18.3048219,62.15755691,43.94474677,84.98445057,20.03992397,16.72101408,14.06580896,52.25552398,42.24950559,33.66717687
Polypterus,18.88714161,22.05305872,4.113221018,37.01183397,10.89678598,4.346540178,16.49374806,19.79984482,4.211669696,7.299280418,8.676762486,3.978320991,28.29657825,26.54572046,23.28311539,11.40005429,25.91330922,14.44026459,27.74770664,14.3570468,24.07593855,24.09519561,13.87280776,21.92207315,19.78392091,56.24548198,22.88102738,9.888702235,10.65327194,3.862929571,22.71191383,19.29347778,12.65922807,5.359540921,1.362887277,1.463790299
Pongo,27.60428389,44.10611744,15.0818104,17.27218919,17.70727722,21.73270089,8.99658985,2.199982758,16.84667878,17.518273,13.01514373,21.21771195,29.78587185,19.17190922,10.86545385,24.06678128,27.35293751,20.21637043,21.90608419,17.22845616,28.59017703,12.0475978,8.323684656,27.40259144,4.565520211,10.64103713,32.03343833,4.238015244,6.658294964,7.725859143,26.71989863,33.44202815,2.813161793,18.75839322,12.26598549,16.10169329
Portunus,0,0,0,1.233727799,0,23.18154761,2.998863283,1.099991379,0,1.459856084,0,0,0,1.474762248,0,0,0,0,0,0,0,0,0,0,0,0,1.525401825,706.335874,178.442305,1013.375191,0,101.6123163,257.404304,100.4913923,177.175346,5.855161195
Potamocorbula,0,0,0,0,1.362098248,0,2.998863283,1.099991379,5.615559595,37.95625818,0,0,64.03962447,8.848573486,1.552207692,0,2.87925658,2.888052919,1.460405612,615.9173078,1.50474616,1.505949725,1.387280776,2.740259144,60.87360281,15.20148161,520.1620224,19.77740447,58.59299569,38.62929571,0,1.286231852,4.219742689,2.67977046,5.451549108,73.18951494
Potentilla,4.35857114,0,0,4.934911196,1.362098248,1.448846726,34.48692776,23.09981896,12.63500909,4.379568251,1.446127081,1.326106997,17.87152311,8.848573486,7.761038462,1.266672699,2.87925658,8.664158757,1.460405612,2.87140936,1.50474616,0,0,1.370129572,3.04368014,0,0,0,0,0,0,0,1.406580896,0,0,0
Prionailurus,0,0,0,0,0,0,0,2.199982758,0,0,0,0,4.467880777,4.424286743,10.86545385,3.800018097,1.43962829,10.10818522,10.22283929,1.43570468,7.523730798,6.023798902,5.549123104,16.44155487,9.131040421,19.7619261,44.23665293,2.825343496,0,0,0,0,1.406580896,0,0,0
Proaphanostoma,0,1.37831617,0,1.233727799,4.086294743,4.346540178,5.997726567,14.29988793,2.807779797,11.67884867,2.892254162,2.652213994,7.446467961,0,1.552207692,3.800018097,2.87925658,2.888052919,0,0,1.50474616,6.023798902,13.87280776,5.480518288,7.609200351,3.040296323,4.576205476,7.06335874,1.331658993,1.28764319,5.343979725,7.717391112,29.53819882,29.47747506,6.814436385,794.8381322
Procambarus,1.452857047,0,1.371073673,0,0,5.795386903,2.998863283,2.199982758,2.807779797,1.459856084,4.338381243,10.60885598,0,1.474762248,4.656623077,7.600036193,4.318884869,1.444026459,10.22283929,7.178523401,4.514238479,4.517849176,5.549123104,8.220777433,10.65288049,6.080592646,3.050803651,4.238015244,9.32161295,11.58878871,17.36793411,1.286231852,11.25264717,6.699426151,2.725774554,7.318951494
