phylum,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Nemertea,1.452857047,0,0,3.701183397,14.98308072,5.795386903,35.9863594,23.09981896,14.03889899,5.839424335,13.01514373,1.326106997,20.85011029,23.59619596,29.49194616,3.800018097,2.87925658,4.332079378,30.66851786,7.178523401,9.028476958,27.10709506,26.35833474,19.18181401,22.82760105,38.00370404,32.03343833,24.01541971,2.663317986,1.28764319,8.015969588,1.286231852,1.406580896,10.71908184,5.451549108,4.391370896
Oomycota,20.33999866,5.51326468,5.484294691,3.701183397,8.172589486,4.346540178,17.9931797,23.09981896,8.423339392,7.299280419,5.784508324,34.47878192,26.80728466,32.44476945,18.62649231,35.46683557,28.7925658,37.54468795,30.66851786,10.04993276,15.0474616,28.61304478,27.74561552,24.6623323,7.609200351,27.36266691,18.30482191,26.84076321,9.32161295,21.88993424,6.679974656,12.86231852,33.75794151,34.83701599,14.99176005,35.13096717
Perkinsozoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266672699,0,0,1.460405612,0,0,0,0,0,0,0,1.525401825,0,0,0,0,0,0,0,0,0
Platyhelminthes,894.9599408,1397.612596,902.1664766,1227.55916,956.1929699,1335.836681,1634.380489,1382.689163,986.9345987,1762.046293,1748.367641,2132.380051,1800.555953,1555.874171,1696.563008,2185.010406,2468.962517,1711.171354,1634.19388,1850.623333,1712.40113,1548.116318,1829.823344,1720.882742,1374.221583,1340.770679,2192.002423,1380.180298,1777.764755,2113.022476,1357.37085,1444.43837,1296.867586,1665.477341,1480.095583,1045.146273
Porifera,39.22714027,62.02422764,35.64791548,22.20710039,29.96616145,18.83500744,43.4835176,45.09964654,33.69335757,27.7372656,49.16832076,82.21863382,55.10386292,64.88953889,68.29713847,101.3338159,70.54178621,64.98119067,59.87663012,71.785234,69.21832335,57.22608957,40.23114251,61.65583074,60.8736028,50.16488933,67.11768031,86.17297662,95.87944749,97.86088248,94.85564012,61.73912889,479.6440856,329.6117666,284.8434409,399.6147516
Rhodophyta,0,0,1.371073673,3.701183397,2.724196495,0,1.499431642,1.099991379,0,0,1.446127081,0,1.489293592,0,0,2.533345398,4.318884869,2.888052919,1.460405612,5472.906241,1.50474616,0,1.387280776,0,505.2509033,281.2274099,3.050803651,1.412671748,1.331658993,0,0,2.572463704,0,0,1.362887277,0
Rotifera,17.43428456,35.83622042,24.67932611,27.14201158,34.05245619,57.95386903,67.47442387,26.3997931,32.28946767,51.09496293,53.506702,79.56641982,84.88973476,36.86905619,35.70077693,67.13365304,64.78327304,60.6491113,80.32230868,51.68536849,10.53322312,73.79153655,83.23684656,60.28570117,25.87128119,33.44325955,35.08424198,45.20549593,79.89953957,61.80687314,24.04790876,29.5833326,88.61459647,84.4127695,70.87013841,106.8566918
Streptophyta,5680.671053,6293.391631,5722.86151,5675.147875,4458.147565,4878.266926,5493.917535,6694.547533,4293.09531,6153.293393,5532.882212,5283.210276,6935.640259,7155.546425,9176.651878,7318.834854,7958.265186,6495.231014,6332.318735,6466.41388,8382.940856,7620.105611,6904.496422,8060.472273,9628.682124,8214.880665,9356.814796,5438.786229,4520.982281,4421.766716,6530.343224,6005.416517,4712.046002,4471.197013,8043.760709,4931.509517
Xenacoelomorpha,0,1.37831617,0,1.233727799,4.086294743,4.346540178,5.997726567,14.29988793,2.807779797,11.67884867,2.892254162,2.652213994,7.446467961,0,1.552207692,3.800018097,2.87925658,2.888052919,0,0,1.50474616,6.023798902,13.87280776,5.480518288,7.609200351,3.040296323,4.576205476,7.06335874,1.331658993,1.28764319,5.343979725,7.717391112,29.53819882,29.47747506,6.814436385,957.3188554
Zoopagomycota,14.52857047,5.513264679,9.597515708,3.701183397,34.05245619,17.38616071,10.49602149,6.599948274,14.03889899,10.21899259,15.90739789,22.54381895,13.40364233,4.424286743,12.41766154,19.00009048,21.59442435,15.88429105,7.302028062,4.307114041,7.523730798,6.023798902,2.774561552,8.220777433,0,4.560444484,9.152410952,19.77740447,34.62313382,29.61579338,1.335994931,3.858695556,7.032904482,16.07862276,13.62887277,10.24653209
